City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
199,Mackay,AU,2021-05-27 21:17:30,-21.15,149.2,60.04,67,0,8.05
200,Tiarei,PF,2021-05-27 21:10:27,-17.5333,-149.3333,84.22,67,3,6.85
201,Te Anau,NZ,2021-05-27 21:17:30,-45.4167,167.7167,39.88,96,100,1.48
202,Coquimbo,CL,2021-05-27 21:09:34,-29.9533,-71.3436,56.93,82,0,4.79
203,Gweta,BW,2021-05-27 21:17:31,-20.1833,25.2333,63.07,24,0,6.08
204,Aksarka,RU,2021-05-27 21:10:09,66.5606,67.7975,33.78,67,45,6.06
205,Pisco,PE,2021-05-27 21:10:41,-13.7,-76.2167,65.01,94,90,5.75
206,Mount Gambier,AU,2021-05-27 21:10:11,-37.8333,140.7667,51.58,78,96,7.7
207,Paita,PE,2021-05-27 21:17:31,-5.0892,-81.1144,72.16,78,31,16.46
208,Shingu,JP,2021-05-27 21:14:13,33.7333,135.9833,65.91,84,100,4.76
209,Goderich,CA,2021-05-27 21:15:35,43.7501,-81.7165,57.04,60,100,18.21
210,Arman,RU,2021-05-27 21:10:14,59.7,150.1667,43.52,83,100,2.48
211,Ticleni,RO,2021-05-27 21:17:31,44.8833,23.4,60.01,93,100,2.06
212,Sao Filipe,CV,2021-05-27 21:09:59,14.8961,-24.4956,73.08,79,2,8.32
213,College,US,2021-05-27 21:09:18,64.8569,-147.8028,60.75,42,75,3.0
214,Urusha,RU,2021-05-27 21:17:32,54.05,122.9,41.16,78,100,2.59
215,Micheweni,TZ,2021-05-27 21:17:32,-4.9667,39.8333,77.16,78,30,12.53
216,Natal,BR,2021-05-27 21:13:06,-5.795,-35.2094,79.45,78,40,11.74
217,Hue,VN,2021-05-27 21:17:33,16.4667,107.6,80.71,89,20,2.66
218,Dickinson,US,2021-05-27 21:16:57,29.4608,-95.0513,91.22,70,75,5.99
219,Etchoropo,MX,2021-05-27 21:17:33,26.7667,-109.6667,103.41,27,42,13.8
220,Klaksvik,FO,2021-05-27 21:09:46,62.2266,-6.589,45.52,86,85,15.43
221,Campbellton,CA,2021-05-27 21:17:33,48.0075,-66.6727,48.65,36,6,13.47
222,Bubaque,GW,2021-05-27 21:14:26,11.2833,-15.8333,78.96,78,8,18.81
223,Valleyview,CA,2021-05-27 21:17:34,55.0667,-117.2859,51.84,87,100,12.66
224,Gat,IL,2021-05-27 21:17:34,31.61,34.7642,76.41,76,0,2.55
225,Rawson,AR,2021-05-27 21:10:48,-43.3002,-65.1023,57.34,39,82,21.94
226,Takoradi,GH,2021-05-27 21:16:20,4.8845,-1.7554,81.09,83,80,10.04
227,Rocha,UY,2021-05-27 21:10:41,-34.4833,-54.3333,57.72,81,1,6.2
228,Olafsvik,IS,2021-05-27 21:17:35,64.8945,-23.7142,46.87,79,0,3.71
229,Kannabe,JP,2021-05-27 21:13:19,34.5333,133.3833,61.95,89,47,2.71
230,Mar Del Plata,AR,2021-05-27 21:09:20,-38.0023,-57.5575,65.08,60,0,11.99
231,Marquette,US,2021-05-27 21:09:33,46.5333,-87.6335,38.82,61,100,8.9
232,Ribeira Grande,PT,2021-05-27 21:05:44,38.5167,-28.7,59.83,61,100,10.18
